代號,名稱,上市別,TSE 產業別,TSE產業名稱,員工人數-母公司,實收資本額(元),資本額,資產總額_自然變數,槓桿比,現金比率,資產報酬率(2024全年),OI,EBIT,EBITDA,董事會規模,董事會獨立性,董事長兼任總經理,高階主管薪酬長期目標,集團控制型態_量化,控制持股%,席次盈餘偏離差,AI變數,現金充裕度,TCRI,集團/非集團企業(量化),EPU數量,EPU數量_廣義,EPU數量_廣義(含政治),TESG分數,事件雷達轉換計分,環境構面分數,社會構面分數,公司治理構面分數,累計報酬率
1101,台泥,TSE,1,水泥工業,1217,77511817420,622719805,20.24960722,0.964206201,0.205450491,5.56,11.08,0.045102678,0.071551061,2.708050201,0.333333333,0,0,1,7.3,60.93,0,1083.04,4,1,2,6,9,57.48,2.86,83.65,61.55,64.24,-40.4718
1102,亞泥,TSE,1,水泥工業,480,35465628810,332490608,19.62212217,0.651252897,0.250581186,6.38,9.73,0.053150455,0.066941208,2.708050201,0.333333333,0,0,1,34.45,59.06,0,989.42,3,1,0,16,16,67.56,65.1,78.74,73,53.37,-17.3905
1103,嘉泥,TSE,1,水泥工業,89,7902474590,35819331,17.39399828,0.636511902,0.263009686,1.53,-5.09,0.016793948,0.029308504,1.945910149,0.428571429,0,0,1,39.27,5.61,0,99.13,6,1,3,4,6,51.3,100,48.06,54.59,52.54,-13.6735
1104,環泥,TSE,1,水泥工業,536,6866818160,29840834,17.21138828,0.204569307,0.168981135,6.49,13.3,0.061996491,0.069388007,1.945910149,0.571428571,0,0,1,36.54,6.32,0,42.51,5,0,0,0,0,69.77,100,80.7,57.47,66.47,0.1424
1108,幸福,TSE,1,水泥工業,399,4047380000,10200300,16.13792769,1.033375481,0.045821888,9.63,13.13,0.064343696,0.081147123,1.945910149,0.428571429,0,0,1,50.61,-19.07,0,4.43,6,1,0,0,0,53.35,67.79,47.22,45.83,65.2,3.312
1109,信大,TSE,1,水泥工業,347,3411588680,11537761,16.26113578,0.111149516,0.370301136,5.19,13.99,0.06186963,0.088843494,2.197224577,0.333333333,0,0,1,59.38,7.29,0,45.36,5,1,0,0,1,44.17,31.3,52.74,39.22,47.27,-10.0389
1110,東泥,TSE,1,水泥工業,58,5720007970,12724189,16.35901539,0.324723074,0.057062104,4.06,11.7,0.036665048,0.044985028,2.397895273,0.272727273,0,0,1,62.73,11.1,0,5.15,6,1,0,0,1,54.61,75.42,65.99,36.4,54.92,-6.8742
1201,味全,TSE,2,食品工業,1407,5060629000,17724913,16.69048172,1.320484658,0.083826251,5.91,2.5,0.042304411,0.106523118,2.197224577,0.333333333,0,0,1,40.18,4.27,0,19.37,6,1,0,0,0,73.8,100,80.7,70.44,71.04,-10.1353
1203,味王,TSE,2,食品工業,731,2400000000,10555663,16.17217305,0.409004703,0.241703908,12.37,17.09,0.114998272,0.130078329,2.708050201,0.2,0,0,1,42.84,17.16,0,19.68,5,1,0,3,4,52.51,91.86,65.17,52.32,39.68,24.2298
1210,大成,TSE,2,食品工業,2999,8947672220,70737237,18.07448268,1.114946131,0.111884664,13.31,5.19,0.08820828,0.129059126,2.397895273,0.272727273,0,0,1,27.77,8.59,0,64.05,4,1,0,2,2,55.6,88.28,45.16,61.83,58.28,-17.5794
